id,route_id_site_id,ce_length_mtr,ri_cost_per_meter,material_cost_per_meter,build_cost_per_meter,total_ri_amount,material_cost,execution_cost_including_hh,total_cost_without_deposit,route_type,build_type,category_type
39360,MUM_Route_10,10274.0,124.69,187.2,450.0,1281065.06,1923292.8,4623300.0,7827657.859999999,DC Route,,
39361,MUM_Route_101,711.7,3368.995363214838,205.5100463678516,741.7310664605875,2397714.0,146261.5,527890.0000000001,3071865.5,Additional Route,,
39362,MUM_Route_102,421.3,1500.0,145.0,700.0,631950.0,61088.5,294910.0,987948.5,Additional Route,,
39363,MUM_Route_105,990.0,8964.444444444445,386.6666666666667,866.6666666666666,8874800.0,382800.0,858000.0,10115600.0,Additional Route,,
39364,MUM_Route_106,1942.6,7099.601359003399,326.2910532276331,825.0283125707815,13791685.6,633853.0,1602700.0,16028238.6,Additional Route,,
39365,MUM_Route_107,2420.0,7816.635454545453,462.7477272727273,919.1363636363636,18916257.8,1119849.5,2224310.0,22260417.3,Additional Route,,
39366,MUM_Route_108,2787.4,8416.80820836622,383.9581689029202,864.7987371744277,23461011.2,1070245.0,2410540.0,26941796.2,Additional Route,,
39367,MUM_Route_109,4015.0,15009.10136986301,623.3972602739726,1000.0,60261542.0,2502940.0,4015000.0,66779482.0,DC Route,,
39368,MUM_Route_11,1812.8,10046.2354368932,177.8791262135923,505.2184466019418,18211815.6,322459.28,915860.0,19450134.88,Additional Route,,
39369,MUM_Route_110,6215.0,15875.33185840708,580.0,1000.0,98665187.5,3604700.0,6215000.0,108484887.5,Additional Route,,
39370,MUM_Route_111,841.5,17151.1294117647,580.0,1000.0,14432675.4,488070.0,841500.0,15762245.4,Additional Route,,
39371,MUM_Route_112,1018.6,22885.75377969762,580.0,1000.0,23311428.8,590788.0,1018600.0,24920816.8,Additional Route,,
39372,MUM_Route_113,1886.5,41231.78921282799,580.0000000000001,1000.0,77783770.35,1094170.0,1886500.0,80764440.35,Additional Route,,
39373,MUM_Route_114,3715.8,18679.89046773239,580.0,1000.0,69410737.0,2155164.0,3715800.0,75281701.0,Additional Route,,
39374,MUM_Route_115,4551.8,17458.74311261479,580.0,1000.0,79468706.9,2640044.0,4551800.0,86660550.9,Additional Route,,
39375,MUM_Route_116,935.0,8518.0,580.0,1000.0,7964330.0,542300.0,935000.0,9441630.0,Additional Route,,
39376,MUM_Route_117,1756.7,32091.0,580.0,1000.0,56374259.7,1018886.0,1756700.0,59149845.7,Additional Route,,
39377,MUM_Route_118,646.8,,580.0,2500.0,,375144.0,1617000.0,1992144.0,Additional Route,,
39378,MUM_Route_121,2083.4,9974.656810982047,580.0,1000.0,20781200.0,1208372.0,2083400.0,24072972.0,Additional Route,,
39379,MUM_Route_122,2667.5,9666.185567010309,580.0,1000.0,25784550.0,1547150.0,2667500.0,29999200.0,Additional Route,,
39380,MUM_Route_123,2218.7,9500.0,580.0,1000.0,21077650.0,1286846.0,2218700.0,24583196.0,Additional Route,,
39381,MUM_Route_124,1366.2,9500.0,580.0,1000.0,12978900.0,792396.0,1366200.0,15137496.0,Additional Route,,
39382,MUM_Route_126,318.93422,,580.0000000000001,2500.0,,184981.8476,797335.5499999999,982317.3975999999,Additional Route,,
39383,MUM_Route_13,3027.2,12015.79324127907,652.0000000000001,1000.0,36374209.3,1973734.4,3027200.0,41375143.7,DC Route,,
39384,MUM_Route_134,1371.7,21196.04410585405,454.4186046511628,913.3921411387329,29074613.7,623326.0,1252900.0,30950839.7,Additional Route,,
39385,MUM_Route_135,440.0,,580.0,2500.0,,255200.0,1100000.0,1355200.0,Additional Route,,
39386,MUM_Route_136,143.0,,580.0,2500.0,,82940.0,357500.0,440440.0,Additional Route,,
39387,MUM_Route_141,2282.0,24648.64680105171,580.0,1000.0,56248212.0,1323560.0,2282000.0,59853772.0,Additional Route,,
39388,MUM_Route_142,2762.1,14936.0,580.0,1000.0,41254725.6,1602018.0,2762100.0,45618843.6,Additional Route,,
39389,MUM_Route_145,198.0,3500.0,580.0,1000.0,693000.0,114840.0,198000.0,1005840.0,DC Route,,
39390,MUM_Route_146,495.0,3500.0,580.0,1000.0,1732500.0,287100.0,495000.0,2514600.0,DC Route,,
39391,MUM_Route_148,200.0,11700.0,580.0,1000.0,2340000.0,116000.0,200000.0,2656000.0,DC Route,,
39392,MUM_Route_149,288.2,11700.0,580.0,1000.0,3371940.0,167156.0,288200.0,3827296.0,DC Route,,
39393,MUM_Route_150,204.6,1238.709677419355,580.0,2306.451612903226,253440.0,118668.0,471900.0,844008.0,Additional Route,,
39394,MUM_Route_151,220.0,1200.0,580.0,2312.5,264000.0,127600.0,508750.0,900350.0,Additional Route,,
39395,MUM_Route_152,495.0,11700.0,580.0,1000.0,5791500.0,287100.0,495000.0,6573600.0,DC Route,,
39396,MUM_Route_153,517.0,11700.0,580.0,1000.0,6048900.0,299860.0,517000.0,6865760.0,DC Route,,
39397,MUM_Route_155,597.3,9600.0,580.0,1000.0,5734080.0,346434.0,597300.0,6677814.0,Additional Route,,
39398,MUM_Route_156,304.28838,,580.0,2500.0,,176487.2604,760720.9500000001,937208.2104000001,Additional Route,,
39399,MUM_Route_157,1925.0,12158.85714285714,580.0,1000.0,23405800.0,1116500.0,1925000.0,26447300.0,Additional Route,,
39400,MUM_Route_158,220.0,,580.0,2500.0,,127600.0,550000.0,677600.0,DC Route,,
39401,MUM_Route_159,385.0,,580.0,2500.0,,223300.0,962500.0,1185800.0,DC Route,,
39402,MUM_Route_16,1833.7,11010.28914217156,652.0000000000001,1000.0,20189567.2,1195572.4,1833700.0,23218839.6,DC Route,,
39403,MUM_Route_160,1430.0,2995.384615384615,580.0,1000.0,4283400.0,829400.0,1430000.0,6542800.0,Additional Route,,
39404,MUM_Route_161,302.5,4445.454545454545,580.0,1000.0,1344750.0,175450.0,302500.0,1822700.0,Additional Route,,
39405,MUM_Route_162,176.0,1500.0,580.0,1000.0,264000.0,102080.0,176000.0,542080.0,Additional Route,,
39406,MUM_Route_163,555.5,,580.0,2500.0,,322190.0,1388750.0,1710940.0,DC Route,,
39407,MUM_Route_164,110.0,,580.0,2500.0,,63800.0,275000.0,338800.0,DC Route,,
39408,MUM_Route_165,121.0,,580.0,2500.0,,70180.0,302500.0,372680.0,DC Route,,
39409,MUM_Route_166,1684.1,4573.873285434357,580.0,1000.0,7702860.0,976778.0,1684100.0,10363738.0,DC Route,,
39410,MUM_Route_167,110.0,9600.0,580.0,1000.0,1056000.0,63800.0,110000.0,1229800.0,DC Route,,
39411,MUM_Route_168,110.0,9600.0,580.0,1000.0,1056000.0,63800.0,110000.0,1229800.0,DC Route,,
39412,MUM_Route_169,561.0,,,,,,,,Additional Route,,
39413,MUM_Route_170,1100.0,,,,,,,,Additional Route,,
39414,MUM_Route_171,110.0,,580.0,2500.0,,63800.0,275000.0,338800.0,Additional Route,,
39415,MUM_Route_172,110.0,,580.0,2500.0,,63800.0,275000.0,338800.0,Additional Route,,
39416,MUM_Route_19,5924.6,13958.42666171556,652.0,2106.201262532491,82698094.6,3862839.2,12478400.0,99039333.8,DC Route,,
39417,MUM_Route_23,22090.2,15419.95294293397,573.2181057663579,1609.799820734986,340629844.5,12662502.6,35560800.0,388853147.1,DC Route,,
39418,MUM_Route_24,958.1,,580.0,2500.0,,555698.0,2395250.0,2950948.0,DC Route,,
39419,MUM_Route_25,9537.0,16310.79238754325,652.0,1000.0,155556027.0,6218124.0,9537000.0,171311151.0,DC Route,,
39420,MUM_Route_27,10192.6,23575.77379667602,652.0000000000001,1000.0,240298432.0,6645575.200000001,10192600.0,257136607.2,DC Route,,
39421,MUM_Route_30,1145.1,13881.91642651297,651.9999999999999,999.9999999999999,15896182.5,746605.2,1145100.0,17787887.7,DC Route,,
39422,MB1134,,,,,,,,,"LMC routes (stand alone) ",,
39423,MUM_Route_33,4229.5,31122.8088426528,652.0,1000.0,131633920.0,2757634.0,4229500.000000001,138621054.0,DC Route,,
39424,MUM_Route_35,356.4,13439.0,652.0,1000.0,4789659.600000001,232372.8,356400.0000000001,5378432.4,DC Route,,
39425,MUM_Route_36,6032.4,15904.25419401897,652.0,1000.0,95940823.00000001,3933124.8,6032400.0,105906347.8,DC Route,,
39426,MUM_Route_37,2491.5,23210.79028697571,652.0000000000001,1000.0,57829684.0,1624458.0,2491500.0,61945642.0,DC Route,,
39427,MUM_Route_38,3082.2,12598.64002984881,511.950392576731,1034.832262669522,38831528.3,1577933.5,3189560.0,43599021.8,DC Route,,
39428,MUM_Route_4,6820.000000000001,219.941348973607,325.9999999999999,1200.0,1500000.0,2223320.0,8184000.000000001,11907320.0,DC Route,,
39429,MUM_Route_42,7766.0,14844.13597733711,652.0,1000.0,115279560.0,5063432.0,7766000.0,128108992.0,DC Route,,
39430,MUM_Route_45,18362.3,6422.126040855449,501.6861558737195,1000.0,117925005.0,9212111.7,18362300.0,145499416.7,DC Route,,
39431,MUM_Route_46,482.9,1500.0,580.0,1943.052391799544,724350.0,280082.0,938300.0,1942732.0,DC Route,,
39432,MUM_Route_48,3238.4,3000.0,651.9999999999999,884.1999999999999,9715200.0,2111436.8,2863393.28,14690030.08,DC Route,,
39433,MUM_Route_49,4867.5,6951.694915254237,622.7118644067797,875.7062146892655,33837375.0,3031050.0,4262500.0,41130925.0,DC Route,,
39434,MUM_Route_50,6033.500000000001,16902.16955332726,651.9999999999999,929.0793072014585,101979240.0,3933842.0,5605600.000000001,111518682.0,DC Route,,
39435,MUM_Route_54,5060.0,249.38,187.2,450.0,1261862.8,947232.0,2277000.0,4486094.8,DC Route,,
