sr_no,route_type,ip1_co_built,dn_recipient,project_name,route_id_site_id,uid,build_type,category_type,survey_id,po_number,po_length,parent_route,ce_route_lmc_id,route_lmc_section_id,route_lmc_subsection_id,application_number,application_length_mtr,application_date,from_location,to_location,authority,ward,dn_number,dn_length_mtr,dn_received_date,trench_type,ot_length,surface,surface_wise_ri_amount,dn_ri_amount,surface_wise_multiplication_factor,ground_rent,administrative_charge,supervision_charges,chamber_fee,gst,ri_budget_amount_per_meter,projected_budget_ri_amount_dn,actual_total_non_refundable,non_refundable_amount_per_mtr,proj_non_refundable_savings_per_mtr,deposit,total_dn_amount,new_revised_dn_number,new_revised_dn_against,internal_approval_start,internal_approval_end,ticket_raised_date,dn_payment_date,tat_days,civil_completion_date,hdd_length,no_of_pits,pit_ri_rate,proj_savings_per_dn,surface_wise_length,road_name,permission_receipt_date,permit_no,permit_start_date,permit_end_date,permitted_length_by_ward_mts
20,DC Route,IP-1,CE,Mumbai Fiber Refresh Project,MUM_Route_10,MUM_Route_10,Existing,Strategic,,10004633.0,10280.0,,MUMU25R010,MUMU25R010MCWB,MUMU25R010MCWE241221D2C6L0012,783326066,23.0,2024-06-26," BOB Mirza Galibh road",Byculla Fire Bricade,MCGM,E,783326066,33.0,2024-12-21,Open Trench,,Carriageway(Mastic Asphalt 25 mm)+footpath/Passages(Finished in Stencil/),12469/11211,1152439.0,,66.0,33.0,,,,8413.0,277629.0,1152538.0,34925.39393939394,-26512.39393939394,576219.5,1728757.5,,,2025-04-04,2025-04-05,2025-05-20,2025-04-10,5,,,,,,,,,,,,
21,DC Route,IP-1,CE,Mumbai Fiber Refresh Project,MUM_Route_10,MUM_Route_10,Existing,Strategic,,10004633.0,10280.0,,MUMU25R010,MUMU25R010MCWB,MUMU25R010MCWE241221D3C6L0013,783326083,29.0,2024-06-26,"BMC E ward office "," Mirza Galibh road junction ",MCGM,E,783326083,39.0,2024-12-21,Open Trench,,"Carriageway(Mastic Asphalt 25 mm)+footpath/Passages(Grey or Any_x000D_
Color)",12469/8518,367761.0,,78.0,39.0,,,,8413.0,328107.0,367878.0,9432.76923076923,-1019.76923076923,183880.5,551758.5,,,2025-04-04,2025-04-05,2025-05-07,2025-04-10,5,,,,,,,,,,,,
5,Route LM,Co-Built,Airtel,Mumbai Fiber Refresh Project,MA4226,MU-MA4226,New-build,Non-Strategic,,10004641.0,20.0,MUMU25R010,MUMU25NL003,MUMU25NL003MCWA,MUMU25NL003MCWA250404D3C3L0004,783339100,8.0,2025-03-27,NEAR HOTEL CASTLE IN HIRA BLDG,NEAR HOTEL CASTLE IN HIRA BLDG,MCGM,A,783339100,8.0,2025-04-04,Open Trench,,"Footpath/Passages(Finished in_x000D_
Stencil)",11211,448440.0,,16.0,8.0,,,,12469.0,99752.0,448464.0,56058.0,-43589.0,,448464.0,,,2025-04-04,2025-04-11,2025-04-01,2025-04-15,4,,,,,,,,,,,,
4,Route LM,Co-Built,Airtel,Mumbai Fiber Refresh Project,6295,MU-MA6295,New-build,Non-Strategic,,10004641.0,30.0,MUMU25R010,MUMU25NL002,MUMU25NL002MCWA,MUMU25NL002MCWA250404D3C3L0003,783339141,20.0,2025-03-27,NEAR EP NO-F/R-9 HOTEL POPULAR PALACE,NEAR MINT ROAD,MCGM,A,783339141,27.0,2025-04-04,Open Trench,,Carriageway,10187,275049.0,,54.0,27.0,,,,12469.0,336663.0,275130.0,10190.0,2279.0,137524.5,412654.5,,,2025-04-04,2025-04-11,2025-04-01,2025-04-15,4,,,,,,,,2025-04-16,783339141.0,2025-04-17,2025-04-18,27.0
3,DC Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,MUM_Route_131,MUM_Route_131,New-build,Non-Strategic,,10004641.0,200.0,,MUMU25R131,MUMU25R131MCWA,MUMU25R131MCWA250328D3C3,783339212,145.0,2025-03-28,NEAR SUCHITA BUILDING,NEAR HOTEL VICTORIA,MCGM,A,783339212,155.0,2025-04-04,Open Trench,,Carriageway+footpath/Passages,10187/10454,1613962.0,,310.0,155.0,,,,8413.0,1304015.0,1614427.0,10415.65806451613,-2002.658064516128,806981.0,2421408.0,,,2025-04-15,2025-04-16,,2025-04-17,1,,,,,,,,,,,,
15,"LMC routes (stand alone) ",Co-Built,Airtel,Mumbai Fiber Refresh Project,5831,MU-5831,New-build,Non-Strategic,,10004791.0,67.0,,MUMU25FL005,MUMU25FL005MCRN,MUMU25FL005MCRN250401D3C30027,783339323,116.0,2025-04-01,JAYWANT SAWANT MARG,SAI AMRUT CHS,MCGM,RN,783339323,136.0,2025-04-17,Open Trench,,Carriageway(PB 80(OnlyGrey+Use of Existing Duct),8246/2900,1067996.0,,272.0,136.0,,,,7487.0,1018232.0,1068404.0,7855.911764705882,-368.911764705882,533998.0,1602402.0,,,2025-04-18,2025-04-20,2025-04-16,2025-04-23,3,,,,,,,,,,,,
17,DC Route,IP-1,CE,Mumbai Fiber Refresh Project,MUM_Route_10,MUM_Route_10,Existing,Strategic,,10004633.0,10280.0,,MUMU25R010,MUMU25R010MCWB,MUMU25R010MCWB250403D3C3L0029,783339575,50.0,2025-04-03,Hotel Elphinstone Annexe,Godee Area opp. Navratna Premises,MCGM,B,783339575,60.0,2025-04-19,Open Trench,," Mastic_x000D_
Asphalt 40 m",14936,896160.0,,120.0,60.0,,,,8413.0,504780.0,896340.0,14939.0,-6526.0,448080.0,1344420.0,,,2025-04-22,2025-04-24,2025-04-05,2025-04-25,1,,,,,,,,,,,,
9,DC Route,IP-1,CE,Mumbai Fiber Refresh Project,MUM_Route_10,MUM_Route_10,Existing,Strategic,,10004633.0,10280.0,,MUMU25R010,MUMU25R010MCWA,MUMU25R010MCWA250408D3C3L0020,783339910,42.0,2025-04-08,PNB HOUSE (PNB BANK),APNA BAZAR (GREAT SOCIAL BLDG,MCGM,A,783339910,52.0,2025-04-08,Open Trench,,Mastic Asphalt 40 m+Concrete Finished,14936/28,651176.0,,104.0,52.0,,,,8413.0,437476.0,651332.0,12525.61538461538,-4112.615384615385,325588.0,976920.0,,,2025-04-09,2025-04-20,2025-05-07,2025-04-25,5,,,,,,,,2025-04-25,783339910.0,2025-04-26,2025-04-27,52.0
25,DC Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,MUM_Route_90,MUM_Route_90,Co-Build,Strategic,AIR52K24R090010,10004960.0,14270.0,MUM_Route_90,,,,783339980,156.0,2025-04-08,NR ASHTVINAYAK CHS,POLE NO. YJS/005/023,MCGM,ME,783339980,156.0,2025-04-12,Open Trench,156.0,Trench on already ex,6711.00,1046916.0,0.00,312.0,156.0,,,,14936.0,2330016.0,1047384.0,6714.0,8222.0,523458.0,1570842.0,,,,,,,,,,,,1282632.0,156,,,,,,
26,DC Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,MUM_Route_90,MUM_Route_90,Co-Build,Strategic,AIR52K24R090010,10004960.0,14270.0,MUM_Route_90,,,,783340005,126.0,2025-04-08,POLE NO. YJS/005/023,MCGM MOTOR LODER CHOWKY( AAGARWADI JN.),MCGM,ME,783340005,136.0,2025-04-12,Open Trench,136.0,Trench on already ex,6711.00,912696.0,0.00,272.0,136.0,,,,14936.0,2031296.0,913104.0,6714.0,8222.0,456348.0,1369452.0,,,,,,,,,,,,1118192.0,136,,,,,,
16,"LMC routes (stand alone) ",Co-Built,Airtel,Mumbai Fiber Refresh Project,MB6370,MU-MB6370,New-build,Non-Strategic,,10004838.0,33.0,,MUMU25FL005,MUMU25FL005MCRN,MUMU25FL005MCRN250409D3C30028,783340181,81.0,2025-04-09,RAJ HERITAGE TOWER,MARY JAMMACULATE GIRLS SCHOOL,MCGM,RN,783340181,91.0,2025-04-17,Open Trench,,"Carriageway(Bituminous_x000D_
Concrete)",11378,1035398.0,,182.0,91.0,,,,14936.0,1359176.0,1035671.0,11381.0,3555.0,517699.0,1553370.0,,,2025-04-18,2025-04-20,2025-04-20,2025-04-23,3,,,,,,,,2025-04-24,783340181.0,2025-04-25,2025-04-30,91.0
