id,dn_number,circle,state,city,area,type_of_build,financial_year,link_name,ce_route_id,ce_section_id,ce_subsection_id,municipal_authority,ward,road_name,start_point,end_point,authority_application_date,authority_application_number,authority_new_application_number,dn_received_date,dn_length,ri_amount,sd_amount,supervision_charge_amt,additional_charge_amt,land_length_mtrs,land_rent_start_date,land_rent_end_date,land_rent_tenure,ground_rent,access_charge,admin_charges,chamber_fee,gst,dn_amount_without_gst,dn_amount_with_gst,dn_payment_date,differential_dn_number,differential_dn_amount,differential_dn_sd,permission_receipt_date,permit_no,permit_start_date,permit_end_date,permitted_length_by_ward_mts,permitted_no_of_ducts,work_status,date_of_refund_application,refund_application_no,sd_refund_amount,sd_deductions,remarks_for_deductions,sd_check,sd_refund_date,sd_refund_ack_no,date_of_refund_application_ri,refund_application_no_ri,ri_refund_amount,penalty_deductions,remarks_for_deductions_ri,ri_refund_date,ri_refund_ack_no
1,783341566,Mumbai,Maharashtra,Mumbai,HW,Co-Built,25-26,148,MUMU25FL007,MUMU25FL007MCHW,MUMU25FL007MCHW250424D3C30030,MCGM,HW,,OPP. JASHMIN HOUSE,PANJETANI VILLA,2025-04-24,783341566,,2025-04-26,140.0,1426180.0,713090.0,,,140.0,,,,280.0,,140.0,,,2139690.0,2139690.0,2025-04-19,,,,,,,,27.0,,,,,,,,,,,,,,,,,
2,NMMC/Z-2/264/2025,Mumbai,Maharashtra,Mumbai,KK,IP-1,24-25,MUM_Route_48,MUMU25R048,MUMUR048NMKK,MUMUR048NMKK250220D4C5L0010,"NMMC ",KK,,"Gami Industrial Park Pawne ","Ashwini Infra Development ",2025-03-18,ETIPL/OSP/Koperkhairne MIDC/HDD/2024-25/02,,2025-03-18,820.0,624000.0,71760.0,93600.0,,820.0,,,,164000.0,,0.0,,,953360.0,953360.0,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,
3,NMMC/Z-2/266/2025,Mumbai,Maharashtra,Mumbai,KK,IP-1,24-25,MUM_Route_48,MUMU25R048,MUMUR048NMKK,MUMUR048NMKK250220D4C5L0009,NMMC,KK,,"Ashwini Infra Development ","CTRL S Data Center ",2025-03-18,ETIPL/OSP/Koperkhairne MIDC/HDD/2024-25/03,,2025-03-18,825.0,624000.0,71760.0,93600.0,,825.0,,,,165000.0,,0.0,,,954360.0,954360.0,2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,,
4,783339910,Mumbai,Maharashtra,Mumbai,A,IP-1,25-26,MUM_Route_10,MUMU25R010,MUMU25R010MCWA,MUMU25R010MCWA250408D3C3L0020,MCGM,A,,PNB HOUSE (PNB BANK),APNA BAZAR (GREAT SOCIAL BLDG,2025-04-08,783339910,,2025-04-08,52.0,651176.0,325588.0,,,52.0,,,,104.0,,52.0,,,976920.0,976920.0,2025-04-25,,,,2025-04-25,783339910.0,2025-04-26,2025-04-27,52.0,,,,,,,,,,,,,,,,,
5,KMDC/KA/Const./27,Mumbai,Maharashtra,Mumbai,KDMC,Co-Built,,MA2218,MUMU25NL008,MUMU25NL008KDWA,MUMU25NL008KDWA250429D3C3L0004,KDMC,KDMC,,,,,Airtel/OSP/2025-26/Open Trench/KDMC/MA-2218/20 Mtrs,,,20.0,185385.4,18538.54,27807.81,,20.0,,,,4000.0,,0.0,,,235731.75,235731.75,2025-05-14,,,,,,,,,,,,,,,,,,,,,,,,,
6,783339980,Mumbai,Maharashtra,Mumbai,ME,Co-Built,25-26,MUM_Route_90,,,,MCGM,ME,,NR ASHTVINAYAK CHS,POLE NO. YJS/005/023,2025-04-08,783339980,,2025-04-12,156.0,1046916.0,523458.0,,,156.0,,,,312.0,,156.0,,,1570842.0,1570842.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,I110310,Mumbai,Maharashtra,Mumbai,KK,Co-Built,25-26,MUM_Route_45,MUMU25R045,MUMU25R045NMKK,MUMU25R045NMKK250327D3C3L0004,MIDC,KK,,Stock Holding Corporation,Shilphata Road,2025-03-27,I110310,,2025-04-24,4765.0,2306260.0,500000.0,,,4765.0,,,,14300.0,,0.0,,417908.0,2820560.0,3238468.0,2025-05-01,,,,,,,,,,,,,,,,,,,,,,,,,
8,783340659,Mumbai,Maharashtra,Mumbai,RC,Co-Built,25-26,MA2115,,,,MCGM,RC,,KRISHNA HERITAGE,KRISHNA HERITAGE FOOTPATH,2025-04-15,783340659,,2025-04-25,4.0,68144.0,34072.0,,,4.0,,,,8.0,,4.0,,,102228.0,102228.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,783341287,Mumbai,Maharashtra,Mumbai,RS,Co-Built,25-26,6195,,,,MCGM,RS,,AVERSHINE MILLENIUM PAIRADISE,THAKUR SHYAM NARAYAN SCHOOL,2025-04-22,783341287,,2025-04-24,75.0,853350.0,426675.0,,,75.0,,,,150.0,,75.0,,,1280250.0,1280250.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,783340005,Mumbai,Maharashtra,Mumbai,ME,Co-Built,25-26,MUM_Route_90,,,,MCGM,ME,,POLE NO. YJS/005/023,MCGM MOTOR LODER CHOWKY( AAGARWADI JN.),2025-04-08,783340005,,2025-04-12,136.0,912696.0,456348.0,,,136.0,,,,272.0,,136.0,,,1369452.0,1369452.0,,,,,,,,,,,,,,,,,,,,,,,,,,
