route_id_site_id,parent_route,route_type,uid,po_no_cobuild,po_length_cobuild,po_no_ip1,po_length_ip1,route_routeLM_metroLM_LMCStandalone
1000,Fibmax,"LMC routes (stand alone) ",MU-1000,10004699,90.0,,,LMC (Standalone)
1008,Fibmax,"LMC routes (stand alone) ",MU-1008,10004709,67.0,,,LMC (Standalone)
1027,Fibmax,"LMC routes (stand alone) ",MU-1027,10004864,146.0,,,LMC (Standalone)
1029,MUM_Route_10,Route LM,MU-1029,,,,,Route LM
1041,Mumbai_Coverage_Route30,Route LM,MU-1041,10004573,160.0,,,Route LM
1046,Mumbai_Coverage_Route29,Route LM,MU-1046,10004519,10.0,,,Route LM
109,MUM_Route_68,Route LM,MU-109,10004657,60.0,,,Route LM
111,Fibmax,"LMC routes (stand alone) ",MU-111,,,,,LMC (Standalone)
1135,MUM_Route_54,Route LM,MU-1135,10004637,60.0,,,Route LM
1144,MUM_Route_99,Route LM,MU-1144,10004622,70.0,,,Route LM
1148,MUM_Route_27,Route LM,MU-1148,10004594,480.0,,,Route LM
1191,Mumbai_Coverage_Route35,Route LM,MU-1191,10004583,60.0,,,Route LM
1251,Fibmax,"LMC routes (stand alone) ",MU-1251,10004763,168.0,,,LMC (Standalone)
1256,Fibmax,"LMC routes (stand alone) ",MU-1256,,,,,LMC (Standalone)
1262,Mumbai_Coverage_Route21,Route LM,MU-1262,10004548,400.0,,,Route LM
1264,Fibmax,"LMC routes (stand alone) ",MU-1264,10004784,30.0,,,LMC (Standalone)
1277,MUM_Route_90,Route LM,MU-1277,,,,,Route LM
1297,Fibmax,"LMC routes (stand alone) ",MU-1297,10004760,422.0,,,LMC (Standalone)
1303,MUM_Route_123,Route LM,MU-1303,10004664,170.0,,,Route LM
1308,Fibmax,"LMC routes (stand alone) ",MU-1308,10004808,78.0,,,LMC (Standalone)
1342,Fibmax,"LMC routes (stand alone) ",MU-1342,10004703,56.0,,,LMC (Standalone)
1365,Fibmax,"LMC routes (stand alone) ",MU-1365,10004888,134.0,,,LMC (Standalone)
1371,Fibmax,"LMC routes (stand alone) ",MU-1371,10004832,66.0,,,LMC (Standalone)
1387,Fibmax,"LMC routes (stand alone) ",MU-1387,10004863,78.0,,,LMC (Standalone)
139,MUM_Route_27,Route LM,MU-139,10004594,210.0,,,Route LM
1392,MUM_Route_81,Route LM,MU-1392,10004680,180.0,,,Route LM
141,MUM_Route_23,Route LM,MU-141,10004959,80.0,,,Route LM
142,Fibmax,"LMC routes (stand alone) ",MU-142,10004705,146.0,,,LMC (Standalone)
1420,Fibmax,"LMC routes (stand alone) ",MU-1420,,,,,LMC (Standalone)
1455,MUM_Route_115,Route LM,MU-1455,10004538,10.0,,,Route LM
1456,MUM_Route_54,Route LM,MU-1456,10004637,230.0,,,Route LM
1467,Fibmax,"LMC routes (stand alone) ",MU-1467,,,,,LMC (Standalone)
1471,Fibmax,"LMC routes (stand alone) ",MU-1471,,,,,LMC (Standalone)
1474,Fibmax,"LMC routes (stand alone) ",MU-1474,10004770,33.0,,,LMC (Standalone)
148,Fibmax,"LMC routes (stand alone) ",MU-148,10004692,67.0,,,LMC (Standalone)
1490,Fibmax,"LMC routes (stand alone) ",MU-1490,10004888,280.0,,,LMC (Standalone)
1508,Mumbai_Coverage_Route23,Route LM,MU-1508,10004556,40.0,,,Route LM
1532,MUM_Route_97,Route LM,MU-1532,10004672,70.0,,,Route LM
1536,MUM_Route_97,Route LM,MU-1536,10004672,70.0,,,Route LM
1550,Fibmax,"LMC routes (stand alone) ",MU-1550,,,,,LMC (Standalone)
1562,MUM_Route_23,Route LM,MU-1562,10004959,50.0,,,Route LM
1640,Fibmax,"LMC routes (stand alone) ",MU-1640,10004888,168.0,,,LMC (Standalone)
1641,MUM_Route_90,Route LM,MU-1641,10004960,300.0,,,Route LM
1659,Fibmax,"LMC routes (stand alone) ",MU-1659,10004696,224.0,,,LMC (Standalone)
1670,Fibmax,"LMC routes (stand alone) ",MU-1670,10004770,104.0,,,LMC (Standalone)
1677,MUM_Route_45,Route LM,MU-1677,10004670,220.0,,,Route LM
1694,MUM_Route_68,Route LM,MU-1694,10004657,200.0,,,Route LM
1734,Fibmax,"LMC routes (stand alone) ",MU-1734,10004811,302.0,,,LMC (Standalone)
174,Fibmax,"LMC routes (stand alone) ",MU-174,10004711,190.0,,,LMC (Standalone)
